# Fission Isotope Spectra
#  Huber model, as provided by Christine Lewis
#    P. Huber and T. Schwetz, Phys. Rev. D70, 053011 (2004)
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#Enu     dNdE_U235    dNdE_U238   dNdE_Pu239   dNdE_Pu241
9.210 5.168633e-06 3.290002e-04 5.249332e-07 9.388799e-06
9.220 4.807799e-06 3.210600e-04 4.801966e-07 8.886146e-06
9.230 4.469690e-06 3.132876e-04 4.389643e-07 8.407379e-06
9.240 4.153052e-06 3.056800e-04 4.009890e-07 7.951528e-06
9.250 3.856691e-06 2.982343e-04 3.660385e-07 7.517653e-06
9.260 3.579463e-06 2.909475e-04 3.338951e-07 7.104846e-06
9.270 3.320284e-06 2.838168e-04 3.043548e-07 6.712230e-06
9.280 3.078116e-06 2.768393e-04 2.772268e-07 6.338954e-06
9.290 2.851974e-06 2.700123e-04 2.523324e-07 5.984200e-06
9.300 2.640922e-06 2.633330e-04 2.295046e-07 5.647175e-06
9.310 2.444067e-06 2.567988e-04 2.085875e-07 5.327113e-06
9.320 2.260563e-06 2.504068e-04 1.894357e-07 5.023278e-06
9.330 2.089606e-06 2.441546e-04 1.719133e-07 4.734956e-06
9.340 1.930434e-06 2.380395e-04 1.558940e-07 4.461462e-06
9.350 1.782323e-06 2.320589e-04 1.412601e-07 4.202134e-06
9.360 1.644588e-06 2.262105e-04 1.279020e-07 3.956333e-06
9.370 1.516581e-06 2.204916e-04 1.157180e-07 3.723446e-06
9.380 1.397688e-06 2.148998e-04 1.046136e-07 3.502882e-06
9.390 1.287327e-06 2.094328e-04 9.450105e-08 3.294073e-06
9.400 1.184950e-06 2.040882e-04 8.529909e-08 3.096470e-06
9.410 1.090039e-06 1.988636e-04 7.693239e-08 2.909548e-06
9.420 1.002105e-06 1.937567e-04 6.933123e-08 2.732801e-06
9.430 9.206869e-07 1.887654e-04 6.243112e-08 2.565745e-06
9.440 8.453495e-07 1.838874e-04 5.617251e-08 2.407912e-06
9.450 7.756835e-07 1.791204e-04 5.050037e-08 2.258854e-06
9.460 7.113036e-07 1.744623e-04 4.536400e-08 2.118144e-06
9.470 6.518473e-07 1.699111e-04 4.071662e-08 1.985368e-06
9.480 5.969741e-07 1.654646e-04 3.651518e-08 1.860133e-06
9.490 5.463639e-07 1.611207e-04 3.272008e-08 1.742059e-06
9.500 4.997164e-07 1.568775e-04 2.929491e-08 1.630786e-06
9.510 4.567501e-07 1.527329e-04 2.620623e-08 1.525967e-06
9.520 4.172009e-07 1.486850e-04 2.342336e-08 1.427269e-06
9.530 3.808216e-07 1.447319e-04 2.091818e-08 1.334376e-06
9.540 3.473809e-07 1.408717e-04 1.866492e-08 1.246985e-06
9.550 3.166623e-07 1.371024e-04 1.664002e-08 1.164806e-06
9.560 2.884638e-07 1.334224e-04 1.482192e-08 1.087562e-06
9.570 2.625963e-07 1.298296e-04 1.319094e-08 1.014990e-06
9.580 2.388838e-07 1.263225e-04 1.172912e-08 9.468371e-07
9.590 2.171619e-07 1.228992e-04 1.042007e-08 8.828634e-07
9.600 1.972775e-07 1.195580e-04 9.248897e-09 8.228398e-07
9.610 1.790880e-07 1.162973e-04 8.202009e-09 7.665483e-07
9.620 1.624609e-07 1.131153e-04 7.267071e-09 7.137809e-07
9.630 1.472729e-07 1.100105e-04 6.432872e-09 6.643400e-07
9.640 1.334093e-07 1.069812e-04 5.689242e-09 6.180373e-07
9.650 1.207639e-07 1.040258e-04 5.026961e-09 5.746939e-07
9.660 1.092380e-07 1.011429e-04 4.437678e-09 5.341399e-07
9.670 9.874027e-08 9.833078e-05 3.913837e-09 4.962136e-07
9.680 8.918603e-08 9.558809e-05 3.448609e-09 4.607617e-07
9.690 8.049695e-08 9.291330e-05 3.035827e-09 4.276386e-07
9.700 7.260058e-08 9.030497e-05 2.669927e-09 3.967063e-07
9.710 6.543001e-08 8.776168e-05 2.345895e-09 3.678338e-07
9.720 5.892344e-08 8.528204e-05 2.059217e-09 3.408971e-07
9.730 5.302389e-08 8.286465e-05 1.805833e-09 3.157788e-07
9.740 4.767880e-08 8.050819e-05 1.582094e-09 2.923677e-07
9.750 4.283981e-08 7.821133e-05 1.384727e-09 2.705585e-07
9.760 3.846238e-08 7.597275e-05 1.210794e-09 2.502518e-07
9.770 3.450557e-08 7.379120e-05 1.057665e-09 2.313536e-07
9.780 3.093177e-08 7.166540e-05 9.229857e-10 2.137751e-07
9.790 2.770644e-08 6.959414e-05 8.046532e-10 1.974323e-07
9.800 2.479791e-08 6.757620e-05 7.007879e-10 1.822463e-07
9.810 2.217717e-08 6.561039e-05 6.097138e-10 1.681423e-07
9.820 1.981762e-08 6.369555e-05 5.299372e-10 1.550501e-07
9.830 1.769495e-08 6.183054e-05 4.601285e-10 1.429033e-07
9.840 1.578692e-08 6.001422e-05 3.991055e-10 1.316396e-07
9.850 1.407324e-08 5.824551e-05 3.458178e-10 1.212004e-07
9.860 1.253536e-08 5.652331e-05 2.993337e-10 1.115302e-07
9.870 1.115640e-08 5.484657e-05 2.588271e-10 1.025774e-07
9.880 9.920956e-09 5.321425e-05 2.235666e-10 9.429299e-08
9.890 8.815014e-09 5.162532e-05 1.929057e-10 8.663130e-08
9.900 7.825833e-09 5.007878e-05 1.662726e-10 7.954933e-08
9.910 6.941832e-09 4.857366e-05 1.431634e-10 7.300677e-08
9.920 6.152499e-09 4.710898e-05 1.231333e-10 6.696586e-08
9.930 5.448296e-09 4.568380e-05 1.057911e-10 6.139119e-08
9.940 4.820583e-09 4.429719e-05 9.079248e-11 5.624962e-08
9.950 4.261535e-09 4.294825e-05 7.783502e-11 5.151015e-08
9.960 3.764072e-09 4.163609e-05 6.665334e-11 4.714377e-08
9.970 3.321797e-09 4.035982e-05 5.701483e-11 4.312337e-08
9.980 2.928933e-09 3.911860e-05 4.871581e-11 3.942364e-08
9.990 2.580267e-09 3.791159e-05 4.157819e-11 3.602093e-08
